User,Day,Exercise,Muscle Group,Sets,Reps,Pause (sec),Weight (kg)
Michal,1,Hanging Leg Raise,Core,3,9,70,80.0
Michal,2,Floor Dumbbell Press,Arms,3,7,90,50.0
Michal,2,Kettlebell Row,Back,4,10,30,92.5
Michal,2,Kettlebell Deficit Push Up,Chest&Shoulders,3,11,80,70.0
Michal,2,Reverse Crunch,Core,4,9,80,80.0
Michal,3,Assited Pull Up,Back,5,6,80,92.5
Michal,3,Kettlebell Angled Press,Chest&Shoulders,3,10,90,70.0
Michal,3,Weighted Triceps Dip,Arms,4,12,90,50.0
Michal,3,Weighted Medium-Grip Pull-Ups,Back,5,11,80,92.5
Michal,4,Weighted Triceps Dip,Arms,3,9,70,50.0
Michal,4,Weighted Medium-Grip Pull-Ups,Back,4,9,40,92.5
Michal,4,"Weighted TricepDips (Work up to a top set of 5 reps. Rest, reduce the weight by 50%, and do as many reps as you can. Rest, and do a third set with just body weight for as many reps as you can.)",Arms,3,7,90,50.0
Michal,4,Hanging Leg Raise,Core,4,9,50,80.0
u1,1,Back Extensions,Glutes,2,19,30,20.0
u1,1,Romanian Deadlift,Legs,2,13,45,30.0
u1,1,Seated Barbell Calf Raise,Legs,2,20,30,30.0
u1,1,Walking Lunges,Legs,2,15,15,30.0
u1,2,Back Extensions - 45 Degrees,Glutes,2,15,30,20.0
u1,2,Dumbbell Lunges,Legs,3,17,60,30.0
u1,2,Back Extension,Glutes,2,16,45,20.0
u1,2,Barbell Hip Thrust,Glutes,4,12,45,20.0
u1,3,Standing Barbell Calf Raise,Legs,4,18,45,30.0
u1,3,Romanian Deadlifts,Legs,2,19,60,30.0
u1,3,Romanian Deadlift,Legs,3,16,45,30.0
u1,3,Seated Barbell Calf Raise,Legs,2,17,45,30.0
u2,1,Rotating Mountain Climber,Core,3,8,60,40.0
u2,1,Overhead Alternating Dumbbell Extensions,Arms,3,9,90,27.5
u2,1,Lying knee raises,Core,5,9,90,40.0
u2,1,Abductor Machine,Core,4,10,30,40.0
u2,2,Adductor Machine,Core,4,12,50,40.0
u2,2,One Arm Overhead Extension,Arms,4,11,40,27.5
u2,2,Single Arm Overhead Extension,Arms,4,7,70,27.5
u2,2,Lying Dumbbell Extension,Arms,3,8,90,27.5
u2,3,Weighted Twisting Sit Up,Core,5,6,50,40.0
u2,3,Dumbbell Step Up,Legs,5,10,50,85.0
u2,3,Rotating Mountain Climber,Core,5,7,40,40.0
u2,3,Overhead Alternating Dumbbell Extensions,Arms,5,8,90,27.5
u2,4,Rotating Mountain Climber,Core,3,7,90,40.0
u2,4,Overhead Alternating Dumbbell Extensions,Arms,4,12,30,27.5
u2,4,Lying knee raises,Core,5,8,70,40.0
u2,4,Abductor Machine,Core,3,12,90,40.0

u3,1,Hyperextension,Glutes,6,3,120,180.0
u3,1,(Assisted) Nordic Hamstring Curls,Legs,6,6,200,252.5
u3,1,Hanging Leg Raises,Core,4,6,140,132.5
u3,1,Back Extensions,Glutes,6,1,180,180.0
u3,1,Back Extensions - 45 Degrees,Glutes,6,5,120,180.0
u3,1,Back Extension,Glutes,4,5,160,180.0
u3,1,45 Degree Back Extension,Glutes,5,5,200,180.0
u3,2,X-Band Walk,Glutes,5,4,160,180.0
u3,2,Walking Dumbbell Lunge,Legs,4,3,160,252.5
u3,2,Weighted Hyperextensions,Glutes,5,5,280,180.0
u3,2,Hyperextension,Glutes,6,1,180,180.0
u3,2,(Assisted) Nordic Hamstring Curls,Legs,4,1,120,252.5
u3,2,Hanging Leg Raises,Core,5,5,120,132.5
u3,2,Back Extensions,Glutes,6,3,200,180.0
